What happens after the ordered three-week closure period ends?,Covid_School_Shutdown
What does the ordered school closure mean for report cards?,Covid_School_Shutdown
Should my child stay home from school?,Covid_School_Shutdown
Are schools shut down?,Covid_School_Shutdown
How can I get the latest news on my school closure?,Covid_School_Shutdown
How will the shutdown impact my child's attendance records?,Covid_School_Shutdown
are schools open?,Covid_School_Shutdown
What are symptoms?,Covid_Symptoms
am i sick,Covid_Symptoms
Do I need to get tested?,Covid_Symptoms
How do i know if I'm sick,Covid_Symptoms
I have travled recently. What do I do?,Covid_Symptoms
I think I might have the virus.,Covid_Symptoms
I think I'm infected,Covid_Symptoms
I traveled to Italy recently. What do I do?,Covid_Symptoms
should i get tested,Covid_Symptoms
should I get tested if I have a cough?,Covid_Symptoms
Can I get tested at my doctors?,Covid_Testing_Locations
Where can I get tested?,Covid_Testing_Locations
testing spots for coronavirus?,Covid_Testing_Locations
testing locations?,Covid_Testing_Locations
How do I get tested?,Covid_Testing_Locations
Can I test myself at my house?,Covid_Testing_Locations
Can I get tested at Walgreens?,Covid_Testing_Locations
My doctor hasn't given me my test results back yet.,Covid_Testing_Results
Who will give me my COVID test results?,Covid_Testing_Results
When can I get my results?,Covid_Testing_Results
test outcomes?,Covid_Testing_Results
Its been a week. Who can I call to get my test results?,Covid_Testing_Results
How can I get my test results?,Covid_Testing_Results
Do my test results come in the mail?,Covid_Testing_Results
Should I cancel my flight to Denver?,Covid_Travel_Restrictions
Is it safe to fly to Seattle?,Covid_Travel_Restrictions
I just travelled. What do I do?,Covid_Travel_Restrictions
do i need to stay home,Covid_Travel_Restrictions
Do I need a doctor's note to travel?,Covid_Travel_Restrictions
Can I travel?,Covid_Travel_Restrictions
Are there any travel restrictions in place yet?,Covid_Travel_Restrictions
What if I urgently need to take a flight?,Covid_Travel_Restrictions
Ok thanks,goodbye
Thanks,goodbye
Bye for now,goodbye
Ok bye,goodbye
Goodbye,goodbye
Thanks for helping. Bye,goodbye
Gn,goodbye
Bye,goodbye
have a nice day,goodbye
Thank you for your help,goodbye
ttyl,goodbye
Good morning,Greetings
Hello please can you help me?,Greetings
Good evening,Greetings
Hello please can you help me,Greetings
Hello I need help,Greetings
Hello,Greetings
I need help,Greetings
Hi,Greetings
Help me,Greetings
Please help me,Greetings
I want help,Greetings
Hello there,Greetings
Tq,Thanks
Ok,Thanks
Thx,Thanks
Cheers !,Thanks
I appreciate that,Thanks
Thanks !,Thanks
Thanks,Thanks
Thank,Thanks
Thank you,Thanks
Thnx,Thanks
Thank you for helping,Thanks
Thanks for helping,Thanks
Ok thanks,Thanks
Thank you so much,Thanks
Thanking you,Thanks
Gracias,Thanks
Thanq,Thanks
